NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
267 ESTREITO TOC   1    03      F                2362
267 ESTREITO TOC   1    04      F                2201
267 ESTREITO TOC   1    05      F                2068
267 ESTREITO TOC   1    06      F                1958
267 ESTREITO TOC   1    07      F                1868
281 PONTE PEDRA    1    01      F                  65
  9 JAGUARA        1    01      F                   2
 26 MIRANDA        1    01      F                   5
 26 MIRANDA        1    03      F                   4
 86 BARRA GRANDE   1    01      F                  28
 86 BARRA GRANDE   1    02      F                  27
 86 BARRA GRANDE   1    03      F                  26
 86 BARRA GRANDE   1    04      F                  25
 86 BARRA GRANDE   1    05      F                  24
 86 BARRA GRANDE   1    06      F                  26
 86 BARRA GRANDE   1    07      F                  27
 90 CAMPOS NOVOS   1    01      F                   3
 97 CASTRO ALVES   1    01      F                  19
 97 CASTRO ALVES   1    02      F                  18
 97 CASTRO ALVES   1    04      F                  17
 97 CASTRO ALVES   1    06      F                  20
 97 CASTRO ALVES   1    07      F                  21
 98 MONTE CLARO    1    01      F                   5
 98 MONTE CLARO    1    06      F                   6
 99 14 DE JULHO    1    01      F                   1
103 FOZ CHAPECO    1    01      F                  32
103 FOZ CHAPECO    1    04      F                  31
169 SOBRADINHO     1    01      F                 766
169 SOBRADINHO     1    02      F                 745
169 SOBRADINHO     1    03      F                 719
169 SOBRADINHO     1    04      F                 691
169 SOBRADINHO     1    05      F                 670
169 SOBRADINHO     1    06      F                 655
169 SOBRADINHO     1    07      F                 648
172 ITAPARICA      1    01      F                   0
173 MOXOTO         1    01      F                   0
174 P.AFONSO 123   1    01      F                   0
175 P.AFONSO 4     1    01      F                   0
178 XINGO          1    01      F                   0
190 B. ESPERANCA   1    01      F                 446
189 P. CAVALO      1    01      F                  63
275 TUCURUI        1    01      F               11911
275 TUCURUI        1    02      F               11433
275 TUCURUI        1    03      F               10955
275 TUCURUI        1    04      F               10480
275 TUCURUI        1    05      F               10022
275 TUCURUI        1    06      F                9593
275 TUCURUI        1    07      F                9215
272 CURUA-UNA      1    01      F                 492
279 SAMUEL         1    01      F                 664
279 SAMUEL         1    02      F                 644
279 SAMUEL         1    03      F                 629
279 SAMUEL         1    04      F                 612
279 SAMUEL         1    05      F                 593
279 SAMUEL         1    06      F                 574
279 SAMUEL         1    07      F                 556
280 COARACY NUNE   1    01      F                   8
204 CACH.CALDEIR   1    01      F                2652
127 SOBRAGI        1    01      F                  27
126 PICADA         1    01      F                  20
283 STA CLARA MG   1    01      F                  26
261 LAJEADO        1    01      F                 530
261 LAJEADO        1    02      F                 511
261 LAJEADO        1    03      F                 495
261 LAJEADO        1    04      F                 480
261 LAJEADO        1    05      F                 466
261 LAJEADO        1    06      F                 453
261 LAJEADO        1    07      F                 442
 48 PIRAJU         1    01      F                   1
249 OURINHOS       1    01      F                   2
241 SLT VERDINHO   1    01      F                   9
241 SLT VERDINHO   1    05      F                   8
304 ITIQUIRA I     1    01      F                  51
305 ITIQUIRA II    1    01      F                   0
196 GUAPORE        1    01      F                  39
196 GUAPORE        1    02      F                  38
196 GUAPORE        1    03      F                  37
196 GUAPORE        1    05      F                  36
196 GUAPORE        1    07      F                  35
195 JAURU          1    01      F                  72
 95 QUEBRA QUEIX   1    01      F                  10
 95 QUEBRA QUEIX   1    03      F                   9
203 CORUMBA III    1    01      F                  22
203 CORUMBA III    1    04      F                  21
154 ITAPEBI        1    01      F                  48
310 DARDANELOS     1    01      F                 474
310 DARDANELOS     1    02      F                 461
310 DARDANELOS     1    03      F                 448
310 DARDANELOS     1    04      F                 436
310 DARDANELOS     1    05      F                 424
310 DARDANELOS     1    06      F                 413
310 DARDANELOS     1    07      F                 402
 29 CORUMBA IV     1    01      F                  77
 29 CORUMBA IV     1    03      F                  76
 29 CORUMBA IV     1    04      F                  75
 29 CORUMBA IV     1    05      F                  74
 29 CORUMBA IV     1    06      F                  73
 29 CORUMBA IV     1    07      F                  72
 94 MONJOLINHO     1    01      F                   4
 94 MONJOLINHO     1    03      F                   3
 94 MONJOLINHO     1    05      F                   4
215 SALTO PILAO    1    01      F                  18
