&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;  161 ;A5RACO_RACOES PATENSE - ITAU_01536_UTE   ;      9999 ;1.0 ;0; 
EOLICA ;  162 ;A5SAOG_SAO GONCALO_01537_PCH             ;      9999 ;1.0 ;0; 
EOLICA ;  163 ;A5SMRT_Santa Marta_01542_CGH             ;      9999 ;1.0 ;0; 
EOLICA ;  164 ;A2GUIA_GUIMARANIA 2_01552_UFV            ;      9999 ;1.0 ;0; 
EOLICA ;  165 ;A2GUIM_GUIMARANIA 1_01552_UFV            ;      9999 ;1.0 ;0; 
EOLICA ;  166 ;A5UHLA_LAGES_01552_CGH                   ;      9999 ;1.0 ;0; 
EOLICA ;  167 ;A5PIAU_Piau_01554_UHE                    ;      9999 ;1.0 ;0; 
EOLICA ;  168 ;A2ATER_ALTEROSA_01555_UTE                ;      9999 ;1.0 ;0; 
EOLICA ;  169 ;A2FLOE_FLORESTAL_01555_CGH               ;      9999 ;1.0 ;0; 
EOLICA ;  170 ;A2MUCU_MUCURI_01561_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;  171 ;A2ECO _ECO VIDA CAJURU_01564_CGH         ;      9999 ;1.0 ;0; 
EOLICA ;  172 ;A2CABC_CABOCLO_01566_CGH                 ;      9999 ;1.0 ;0; 
EOLICA ;  173 ;A2CACA_CACHOEIRA DOS PRAZERE_01566_CGH   ;      9999 ;1.0 ;0; 
EOLICA ;  174 ;A2FUMA_FUMACA_01566_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;  175 ;A2FUNL_FUNIL_01566_CGH                   ;      9999 ;1.0 ;0; 
EOLICA ;  176 ;A2FURQ_FURQUIM_01566_PCH                 ;      9999 ;1.0 ;0; 
EOLICA ;  177 ;A5SALT_SALTO_01566_CGH                   ;      9999 ;1.0 ;0; 
