& CONDICOES INICIAIS DAS UNIDADES                
&                                                
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
211 BAIXADA FL    3  1  0 0 F                               182.20
 97 CUBATAO       1  1  0 0 F                               342.50
 97 CUBATAO       2  1  0 0 F                               342.50
 97 CUBATAO       3  1  0 0 F                               342.50
 12 CUIABA CC     1  1  0 0 F                               543.82
 12 CUIABA CC     1  3  0 0 F                               675.63
 12 CUIABA CC     2  1  0 0 F                               543.82
 12 CUIABA CC     2  3  0 0 F                               675.63
 12 CUIABA CC     3  1  0 0 F                               543.82
 12 CUIABA CC     3  3  0 0 F                               675.63
153 DAIA          1  1  0 0 F                              1018.25
153 DAIA          2  1  0 0 F                              1018.25
153 DAIA          3  1  0 0 F                              1018.25
155 GOIANIA 2     1  1  0 0 F                              1064.95
155 GOIANIA 2     2  1  0 0 F                              1064.95
 63 IBIRITE       1  1  0 0 F                               393.64
 54 JUIZ DE FO    1  1  0 0 F                               283.74
 54 JUIZ DE FO    2  1  0 0 F                               283.74
 15 LUIZORMELO    1  1  0 0 F                               280.64
 15 LUIZORMELO    2  1  0 0 F                               280.64
 15 LUIZORMELO    3  1  0 0 F                               280.64
 15 LUIZORMELO    4  1  0 0 F                               280.64
110 NPIRATINGA    1  1  0 0 F                               548.04
110 NPIRATINGA    2  1  0 0 F                               548.04
110 NPIRATINGA    3  1  0 0 F                               548.04
110 NPIRATINGA    4  1  0 0 F                               548.04
110 NPIRATINGA    5  1  0 0 F                               548.04
110 NPIRATINGA    6  1  0 0 F                               548.04
110 NPIRATINGA    7  1  0 0 F                               548.04
110 NPIRATINGA    8  1  0 0 F                               548.04
110 NPIRATINGA    9  1  0 0 F                               548.04
110 NPIRATINGA   10  1  0 0 F                               548.04
110 NPIRATINGA   11  1  0 0 F                               548.04
110 NPIRATINGA   12  1  0 0 F                               548.04
110 NPIRATINGA   13  1  0 0 F                               548.04
110 NPIRATINGA   14  1  0 0 F                               548.04
110 NPIRATINGA   15  1  0 0 F                               548.04
229 O.PINTADA     1  1  0 0 F                               112.47
182 PALMEIR_GO    1  1  0 0 F                               762.05
182 PALMEIR_GO    2  1  0 0 F                               762.05
 50 PIRAT.12 O    1  1  0 0 F                               470.34
 50 PIRAT.12 O    2  1  0 0 F                               470.34
  9 CAMPOS        1  1  0 0 F                               978.10
  9 CAMPOS        2  1  0 0 F                               978.10
 62 SEROPEDICA    1  1  0 0 F                               409.63
 62 SEROPEDICA    2  1  0 0 F                               409.63
 62 SEROPEDICA    3  1  0 0 F                               409.63
 62 SEROPEDICA    4  1  0 0 F                               409.63
 62 SEROPEDICA    5  1  0 0 F                               409.63
 62 SEROPEDICA    6  1  0 0 F                               409.63
 62 SEROPEDICA    7  1  0 0 F                               409.63
 62 SEROPEDICA    8  1  0 0 F                               409.63
  4 ST.CRUZ 34    3  1  0 0 F                               310.41
  4 ST.CRUZ 34    4  1  0 0 F                               310.41
 86 SANTA CRUZ   11  1  0 0 F                               185.13
 86 SANTA CRUZ   21  1  0 0 F                               185.13
146 UTE STA VI    1  1  0 0 F                               121.49
194 TNORTE 2      1  1  0 0 F                               910.86
194 TNORTE 2      2  1  0 0 F                               910.86
194 TNORTE 2      3  1  0 0 F                               910.86
194 TNORTE 2      4  1  0 0 F                               910.86
 90 T.MACAE       1  1  0 0 F                               737.01
 90 T.MACAE       2  1  0 0 F                               737.01
 90 T.MACAE       3  1  0 0 F                               737.01
 90 T.MACAE       4  1  0 0 F                               737.01
 90 T.MACAE       5  1  0 0 F                               737.01
 90 T.MACAE       6  1  0 0 F                               737.01
 90 T.MACAE       7  1  0 0 F                               737.01
 90 T.MACAE       8  1  0 0 F                               737.01
 90 T.MACAE       9  1  0 0 F                               737.01
 90 T.MACAE      10  1  0 0 F                               737.01
 90 T.MACAE      11  1  0 0 F                               737.01
 90 T.MACAE      12  1  0 0 F                               737.01
 90 T.MACAE      13  1  0 0 F                               737.01
 90 T.MACAE      14  1  0 0 F                               737.01
 90 T.MACAE      15  1  0 0 F                               737.01
 90 T.MACAE      16  1  0 0 F                               737.01
 90 T.MACAE      17  1  0 0 F                               737.01
 90 T.MACAE      18  1  0 0 F                               737.01
 90 T.MACAE      19  1  0 0 F                               737.01
 90 T.MACAE      20  1  0 0 F                               737.01
 47 TERMORIO      1  1  0 0 F                               328.43
 47 TERMORIO      2  1  0 0 F                               328.43
 47 TERMORIO      3  1  0 0 F                               328.43
 47 TERMORIO      4  1  0 0 F                               328.43
 47 TERMORIO      5  1  0 0 F                               328.43
 47 TERMORIO      6  1  0 0 F                               328.43
 47 TERMORIO      7  1  0 0 F                               328.43
 47 TERMORIO      8  1  0 0 F                               328.43
 47 TERMORIO      9  1  0 0 F                               328.43
 47 TERMORIO     10  1  0 0 F                               328.43
 47 TERMORIO     11  1  0 0 F                               328.43
 47 TERMORIO     12  1  0 0 F                               328.43
 47 TERMORIO     13  1  0 0 F                               328.43
 47 TERMORIO     14  1  0 0 F                               328.43
 47 TERMORIO     15  1  0 0 F                               328.43
 47 TERMORIO     16  1  0 0 F                               328.43
 47 TERMORIO     17  1  0 0 F                               328.43
 47 TERMORIO     18  1  0 0 F                               328.43
 47 TERMORIO     19  1  0 0 F                               328.43
 47 TERMORIO     20  1  0 0 F                               328.43
 47 TERMORIO     21  1  0 0 F                               328.43
 47 TERMORIO     22  1  0 0 F                               328.43
 47 TERMORIO     23  1  0 0 F                               328.43
 47 TERMORIO     24  1  0 0 F                               328.43
 47 TERMORIO     25  1  0 0 F                               328.43
 47 TERMORIO     26  1  0 0 F                               328.43
 47 TERMORIO     27  1  0 0 F                               328.43
 47 TERMORIO     28  1  0 0 F                               328.43
 47 TERMORIO     29  1  0 0 F                               328.43
 47 TERMORIO     30  1  0 0 F                               328.43
 47 TERMORIO     31  1  0 0 F                               328.43
 68 T.LAGOAS      1  1  0 0 F                               261.87
 68 T.LAGOAS      2  1  0 0 F                               261.87
 68 T.LAGOAS      3  1  0 0 F                               261.87
 68 T.LAGOAS      4  1  0 0 F                               261.87
 68 T.LAGOAS      5  1  0 0 F                               261.87
 68 T.LAGOAS      6  1  0 0 F                               261.87
 68 T.LAGOAS      7  1  0 0 F                               261.87
 68 T.LAGOAS      8  1  0 0 F                               261.87
 68 T.LAGOAS      9  1  0 0 F                               261.87
 68 T.LAGOAS     10  1  0 0 F                               261.87
 68 T.LAGOAS     11  1  0 0 F                               261.87
 68 T.LAGOAS     12  1  0 0 F                               261.87
 68 T.LAGOAS     13  1  0 0 F                               261.87
