NUM;NOME;itp;DI;HI;M;DF;HF;M;VAZAO
26;MIRANDA;1;3;;;F;;;4
86;BARRA GRANDE;1;1;;;F;;;28
86;BARRA GRANDE;1;2;;;F;;;27
86;BARRA GRANDE;1;3;;;F;;;26
86;BARRA GRANDE;1;4;;;F;;;25
86;BARRA GRANDE;1;5;;;F;;;24
86;BARRA GRANDE;1;6;;;F;;;26
86;BARRA GRANDE;1;7;;;F;;;27
90;CAMPOS NOVOS;1;1;;;F;;;3
97;CASTRO ALVES;1;1;;;F;;;19
97;CASTRO ALVES;1;2;;;F;;;18
97;CASTRO ALVES;1;4;;;F;;;17
97;CASTRO ALVES;1;6;;;F;;;20
97;CASTRO ALVES;1;7;;;F;;;21
98;MONTE CLARO;1;1;;;F;;;5
98;MONTE CLARO;1;6;;;F;;;6
99;14 DE JULHO;1;1;;;F;;;1
103;FOZ CHAPECO;1;1;;;F;;;32
103;FOZ CHAPECO;1;4;;;F;;;31
169;SOBRADINHO;1;1;;;F;;;766
169;SOBRADINHO;1;2;;;F;;;745
169;SOBRADINHO;1;3;;;F;;;719
169;SOBRADINHO;1;4;;;F;;;691
169;SOBRADINHO;1;5;;;F;;;670
169;SOBRADINHO;1;6;;;F;;;655
169;SOBRADINHO;1;7;;;F;;;648
172;ITAPARICA;1;1;;;F;;;0
173;MOXOTO;1;1;;;F;;;0
174;P.AFONSO 123;1;1;;;F;;;0
175;P.AFONSO 4;1;1;;;F;;;0
178;XINGO;1;1;;;F;;;0
190;B. ESPERANCA;1;1;;;F;;;446
189;P. CAVALO;1;1;;;F;;;63
275;TUCURUI;1;1;;;F;;;11911
275;TUCURUI;1;2;;;F;;;11433
275;TUCURUI;1;3;;;F;;;10955
275;TUCURUI;1;4;;;F;;;10480
275;TUCURUI;1;5;;;F;;;10022
275;TUCURUI;1;6;;;F;;;9593
275;TUCURUI;1;7;;;F;;;9215
272;CURUA-UNA;1;1;;;F;;;492
279;SAMUEL;1;1;;;F;;;664
279;SAMUEL;1;2;;;F;;;644
279;SAMUEL;1;3;;;F;;;629
279;SAMUEL;1;4;;;F;;;612
279;SAMUEL;1;5;;;F;;;593
279;SAMUEL;1;6;;;F;;;574
279;SAMUEL;1;7;;;F;;;556
280;COARACY NUNE;1;1;;;F;;;8
204;CACH.CALDEIR;1;1;;;F;;;2652
127;SOBRAGI;1;1;;;F;;;27
126;PICADA;1;1;;;F;;;20
283;STA CLARA MG;1;1;;;F;;;26
261;LAJEADO;1;1;;;F;;;530
261;LAJEADO;1;2;;;F;;;511
261;LAJEADO;1;3;;;F;;;495
261;LAJEADO;1;4;;;F;;;480
261;LAJEADO;1;5;;;F;;;466
261;LAJEADO;1;6;;;F;;;453
261;LAJEADO;1;7;;;F;;;442
48;PIRAJU;1;1;;;F;;;1
249;OURINHOS;1;1;;;F;;;2
241;SLT VERDINHO;1;1;;;F;;;9
241;SLT VERDINHO;1;5;;;F;;;8
304;ITIQUIRA I;1;1;;;F;;;51
305;ITIQUIRA II;1;1;;;F;;;0
196;GUAPORE;1;1;;;F;;;39
196;GUAPORE;1;2;;;F;;;38
196;GUAPORE;1;3;;;F;;;37
196;GUAPORE;1;5;;;F;;;36
196;GUAPORE;1;7;;;F;;;35
195;JAURU;1;1;;;F;;;72
95;QUEBRA QUEIX;1;1;;;F;;;10
95;QUEBRA QUEIX;1;3;;;F;;;9
203;CORUMBA III;1;1;;;F;;;22
203;CORUMBA III;1;4;;;F;;;21
154;ITAPEBI;1;1;;;F;;;48
310;DARDANELOS;1;1;;;F;;;474
310;DARDANELOS;1;2;;;F;;;461
310;DARDANELOS;1;3;;;F;;;448
310;DARDANELOS;1;4;;;F;;;436
310;DARDANELOS;1;5;;;F;;;424
310;DARDANELOS;1;6;;;F;;;413
310;DARDANELOS;1;7;;;F;;;402
29;CORUMBA IV;1;1;;;F;;;77
29;CORUMBA IV;1;3;;;F;;;76
29;CORUMBA IV;1;4;;;F;;;75
29;CORUMBA IV;1;5;;;F;;;74
29;CORUMBA IV;1;6;;;F;;;73
29;CORUMBA IV;1;7;;;F;;;72
94;MONJOLINHO;1;1;;;F;;;4
94;MONJOLINHO;1;3;;;F;;;3
94;MONJOLINHO;1;5;;;F;;;4
215;SALTO PILAO;1;1;;;F;;;18
215;SALTO PILAO;1;3;;;F;;;17
215;SALTO PILAO;1;6;;;F;;;16
155;RETIRO BAIXO;1;1;;;F;;;46
155;RETIRO BAIXO;1;3;;;F;;;45
155;RETIRO BAIXO;1;6;;;F;;;44
311;CACU;1;1;;;F;;;93
311;CACU;1;2;;;F;;;92
311;CACU;1;4;;;F;;;91
311;CACU;1;5;;;F;;;90
311;CACU;1;7;;;F;;;89
312;B. COQUEIROS;1;1;;;F;;;4
315;FOZ R. CLARO;1;1;;;F;;;7
21;SERRA FACAO;1;1;;;F;;;37
21;SERRA FACAO;1;3;;;F;;;36
21;SERRA FACAO;1;5;;;F;;;35
290;ESPORA;1;1;;;F;;;49
101;SAO JOSE;1;1;;;F;;;44
101;SAO JOSE;1;2;;;F;;;43
101;SAO JOSE;1;3;;;F;;;42
101;SAO JOSE;1;4;;;F;;;41
101;SAO JOSE;1;5;;;F;;;40
101;SAO JOSE;1;6;;;F;;;43
101;SAO JOSE;1;7;;;F;;;49
276;RONDON II;1;1;;;F;;;90
276;RONDON II;1;2;;;F;;;89
276;RONDON II;1;5;;;F;;;88
102;PASSO S JOAO;1;1;;;F;;;2
277;BALBINA;1;1;;;F;;;1381
285;JIRAU;1;1;;;F;;;30225
285;JIRAU;1;2;;;F;;;29444
285;JIRAU;1;3;;;F;;;28686
285;JIRAU;1;4;;;F;;;27947
285;JIRAU;1;5;;;F;;;27246
285;JIRAU;1;6;;;F;;;26619
285;JIRAU;1;7;;;F;;;26078
286;STO ANT JARI;1;1;;;F;;;2528
284;FERREIRA GOM;1;1;;;F;;;24
227;SINOP;1;1;;;F;;;1092
228;COLIDER;1;1;;;F;;;102
229;TELES PIRES;1;1;;;F;;;1641
192;GUILMAN-AMOR;1;1;;;F;;;33
230;SAO MANOEL;1;1;;;F;;;26
288;BELO MONTE;1;1;;;F;;;0
314;PIMENTAL;1;1;;;F;;;14845
