& Proposta arquivo polijus.dat
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: c�digo da usina hidraulica
& �ndice: �ndice da fam�lia (sequencial)
& HjusRef: n�vel de montante da usina de jusante para refer�ncia da fam�lia
& nPol: quantidade de polin�mios da fam�lia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
PPPJUS     0001     002     0000000000000000.0D0 0000000000000296.7D0 0.88566099735245D+03 0.60442312542171D-18 0.14754539425462D-04 -.30296729856209D-07 0.37375405432095D-10
PPPJUS     0001     002     0000000000000296.7D0 0000000000000395.1D0 0.88563947603824D+03 -.38297684818606D-17 0.12196974728551D-04 -.97634321335944D-08 0.00000000000000D+01
PPPJUS     0001     003     0000000000000000.0D0 0000000000000266.4D0 0.88573901574549D+03 0.17502306035905D-16 0.10121546156529D-04 -.15236603301333D-07 0.30025810684292D-10
PPPJUS     0001     003     0000000000000266.4D0 0000000000000395.1D0 0.88563947603824D+03 -.38297684818606D-17 0.12196974728551D-04 -.97634321335944D-08 0.00000000000000D+01
PPPJUS     0002     001     0000000000000000.0D0 0000000000001103.3D0 0.85631170115861D+03 0.85476147856754D-02 -.12102302846674D-04 0.12227976024755D-07 -.44466594860191D-11
PPPJUS     0002     001     0000000000001103.3D0 0000000000002783.4D0 0.86114608008341D+03 -.53842355966957D-02 0.70394300628410D-05 -.25345237651189D-08 0.31947727285095D-12
PPPJUS     0004     001     0000000000000000.0D0 0000000000001273.5D0 0.76630003587780D+03 0.87538167661416D-02 -.21420076836018D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0004     001     0000000000001273.5D0 0000000000006238.2D0 0.76840481013350D+03 0.56375735802965D-02 -.11514579114906D-05 0.13239792315006D-09 -.61456176098683D-14
PPPJUS     0004     002     0000000000000000.0D0 0000000000000802.7D0 0.76710000000000D+03 0.79411797607766D-02 -.65551002600139D-05 0.85924084745006D-08 -.42109089791288D-11
PPPJUS     0004     002     0000000000000802.7D0 0000000000001273.5D0 0.76630003587780D+03 0.87538167661416D-02 -.21420076836018D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0004     002     0000000000001273.5D0 0000000000006238.2D0 0.76840481013350D+03 0.56375735802965D-02 -.11514579114906D-05 0.13239792315006D-09 -.61456176098683D-14
PPPJUS     0004     003     0000000000000000.0D0 0000000000001561.2D0 0.76740000000000D+03 0.57904287284212D-02 0.14368501148194D-05 -.23152774536626D-08 0.62870487626007D-12
PPPJUS     0004     003     0000000000001561.2D0 0000000000006238.2D0 0.76840481013350D+03 0.56375735802965D-02 -.11514579114906D-05 0.13239792315006D-09 -.61456176098683D-14
PPPJUS     0004     004     0000000000000000.0D0 0000000000001003.3D0 0.76760000000000D+03 0.54835094803132D-02 0.50284923420677D-06 -.67450691889745D-09 0.00000000000000D+01
PPPJUS     0004     004     0000000000001003.3D0 0000000000001273.5D0 0.76630003587780D+03 0.87538167661416D-02 -.21420076836018D-05 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0004     004     0000000000001273.5D0 0000000000006238.2D0 0.76840481013350D+03 0.56375735802965D-02 -.11514579114906D-05 0.13239792315006D-09 -.61456176098683D-14
PPPJUS     0004     005     0000000000000000.0D0 0000000000001297.4D0 0.76790000000000D+03 0.41322744090739D-02 0.41728562517784D-05 -.44677922100487D-08 0.12438898036689D-11
PPPJUS     0004     005     0000000000001297.4D0 0000000000006238.2D0 0.76840481013350D+03 0.56375735802965D-02 -.11514579114906D-05 0.13239792315006D-09 -.61456176098683D-14
PPPJUS     0006     001     0000000000000000.0D0 0000000000001468.0D0 0.66917466165724D+03 0.80047005008102D-02 -.77812107210609D-05 0.42010193528493D-08 -.94577216765532D-12
PPPJUS     0006     001     0000000000001468.0D0 0000000000004279.2D0 0.67203985482081D+03 0.72778438618837D-03 -.24785876915355D-07 0.00000000000000D+01 0.00000000000000D+01
PPPJUS     0006     001     0000000000004279.2D0 0000000000011245.5D0 0.66896538487664D+03 0.26587260319543D-02 -.44360574947481D-06 0.36342028896280D-10 -.10941749279275D-14
PPPJUS     0007     001     0000000000000000.0D0 0000000000005248.2D0 0.61908970667233D+03 -.81895874732175D-17 0.12975626534374D-05 -.32090957205091D-09 0.24305227730446D-13
PPPJUS     0007     001     0000000000005248.2D0 0000000000013081.9D0 0.62081032170578D+03 0.11564398928530D-02 0.27766237066258D-14 -.10969085758119D-18 0.00000000000000D+01
PPPJUS     0007     002     0000000000000000.0D0 0000000000003098.8D0 0.61980000000000D+03 0.35469768910746D-04 0.81937017132214D-06 -.11884119692096D-09 0.00000000000000D+01
PPPJUS     0007     002     0000000000003098.8D0 0000000000005248.2D0 0.61908970667233D+03 -.81895874732175D-17 0.12975626534374D-05 -.32090957205091D-09 0.24305227730446D-13
PPPJUS     0007     002     0000000000005248.2D0 0000000000013081.9D0 0.62081032170578D+03 0.11564398928530D-02 0.27766237066258D-14 -.10969085758119D-18 0.00000000000000D+01
PPPJUS     0007     003     0000000000000000.0D0 0000000000003260.8D0 0.62050000000000D+03 -.66309323304631D-18 0.55154373454807D-06 -.26045326275287D-10 -.84340112778097D-14
PPPJUS     0007     003     0000000000003260.8D0 0000000000005248.2D0 0.61908970667233D+03 -.81895874732175D-17 0.12975626534374D-05 -.32090957205091D-09 0.24305227730446D-13
PPPJUS     0007     003     0000000000005248.2D0 0000000000013081.9D0 0.62081032170578D+03 0.11564398928530D-02 0.27766237066258D-14 -.10969085758119D-18 0.00000000000000D+01
PPPJUS     0007     004     0000000000000000.0D0 0000000000003452.0D0 0.62130000000000D+03 -.11853126000525D-17 0.35251057442797D-06 0.11698751080964D-10 -.83052744662009D-14
PPPJUS     0007     004     0000000000003452.0D0 0000000000005248.2D0 0.61908970667233D+03 -.81895874732175D-17 0.12975626534374D-05 -.32090957205091D-09 0.24305227730446D-13
PPPJUS     0007     004     0000000000005248.2D0 0000000000013081.9D0 0.62081032170578D+03 0.11564398928530D-02 0.27766237066258D-14 -.10969085758119D-18 0.00000000000000D+01
PPPJUS     0007     005     0000000000000000.0D0 0000000000003992.8D0 0.62200000000000D+03 0.31288679641259D-17 0.20216714516478D-06 0.44896712588890D-10 -.10052457760352D-13
PPPJUS     0007     005     0000000000003992.8D0 0000000000005248.2D0 0.61908970667233D+03 -.81895874732175D-17 0.12975626534374D-05 -.32090957205091D-09 0.24305227730446D-13
PPPJUS     0007     005     0000000000005248.2D0 0000000000013081.9D0 0.62081032170578D+03 0.11564398928530D-02 0.27766237066258D-14 -.10969085758119D-18 0.00000000000000D+01
PPPJUS     0008     001     0000000000000000.0D0 0000000000004730.2D0 0.55601068675284D+03 0.29269194011374D-02 -.97647448203329D-06 0.18997973746852D-09 -.13954889430924D-13
PPPJUS     0008     001     0000000000004730.2D0 0000000000011989.5D0 0.55998484444303D+03 -.35072553681273D-03 0.20216374411370D-06 -.19100708958696D-10 0.59967514007428D-15
PPPJUS     0008     002     0000000000000000.0D0 0000000000000883.8D0 0.55720000000000D+03 0.45810171422443D-05 -.19251537345690D-06 0.27486240099454D-08 -.16287708873611D-11
PPPJUS     0008     002     0000000000000883.8D0 0000000000004730.2D0 0.55601068675284D+03 0.29269194011374D-02 -.97647448203329D-06 0.18997973746852D-09 -.13954889430924D-13
PPPJUS     0008     002     0000000000004730.2D0 0000000000011989.5D0 0.55998484444303D+03 -.35072553681273D-03 0.20216374411370D-06 -.19100708958696D-10 0.59967514007428D-15
PPPJUS     0008     003     0000000000000000.0D0 0000000000002382.1D0 0.55750000000000D+03 0.42086702277661D-17 0.12642671587203D-05 -.58462799013230D-09 0.86620239512442D-13
PPPJUS     0008     003     0000000000002382.1D0 0000000000004730.2D0 0.55601068675284D+03 0.29269194011374D-02 -.97647448203329D-06 0.18997973746852D-09 -.13954889430924D-13
PPPJUS     0008     003     0000000000004730.2D0 0000000000011989.5D0 0.55998484444303D+03 -.35072553681273D-03 0.20216374411370D-06 -.19100708958696D-10 0.59967514007428D-15
PPPJUS     0008     004     0000000000000000.0D0 0000000000003416.6D0 0.55780000000000D+03 -.12367645334583D-17 0.85339422588087D-06 -.30842512588118D-09 0.35421043778953D-13
PPPJUS     0008     004     0000000000003416.6D0 0000000000004730.2D0 0.55601068675284D+03 0.29269194011374D-02 -.97647448203329D-06 0.18997973746852D-09 -.13954889430924D-13
